[2025-12-19 02:08:41] MouseMove: dx=2, dy=-1
[2025-12-19 02:08:41] MouseMove: dx=13, dy=-6
[2025-12-19 02:08:41] MouseMove: dx=26, dy=-14
[2025-12-19 02:08:41] MouseMove: dx=50, dy=-26
[2025-12-19 02:08:41] MouseMove: dx=56, dy=-29
[2025-12-19 02:08:41] MouseMove: dx=52, dy=-24
[2025-12-19 02:08:41] MouseMove: dx=69, dy=-31
[2025-12-19 02:08:41] MouseMove: dx=33, dy=-14
[2025-12-19 02:08:41] MouseMove: dx=10, dy=-4
[2025-12-19 02:08:41] MouseMove: dx=7, dy=-3
[2025-12-19 02:08:41] MouseMove: dx=-6, dy=2
[2025-12-19 02:08:41] MouseMove: dx=-11, dy=5
[2025-12-19 02:08:41] MouseMove: dx=-28, dy=16
[2025-12-19 02:08:41] MouseMove: dx=-26, dy=13
[2025-12-19 02:08:41] MouseMove: dx=-24, dy=14
[2025-12-19 02:08:41] MouseMove: dx=-27, dy=18
[2025-12-19 02:08:41] MouseMove: dx=-21, dy=18
[2025-12-19 02:08:41] MouseMove: dx=-7, dy=6
[2025-12-19 02:08:41] MouseMove: dx=-3, dy=4
[2025-12-19 02:08:41] MouseMove: dx=2, dy=0
[2025-12-19 02:08:41] MouseMove: dx=3, dy=0
[2025-12-19 02:08:41] MouseMove: dx=3, dy=0
[2025-12-19 02:08:41] MouseMove: dx=2, dy=0
[2025-12-19 02:08:41] MouseMove: dx=6, dy=-1
[2025-12-19 02:08:41] MouseMove: dx=3, dy=-1
[2025-12-19 02:08:41] MouseMove: dx=6, dy=-1
[2025-12-19 02:08:41] MouseMove: dx=3, dy=-1
[2025-12-19 02:08:41] MouseMove: dx=7, dy=-1
[2025-12-19 02:08:41] MouseMove: dx=7, dy=-1
[2025-12-19 02:08:41] MouseMove: dx=7, dy=0
[2025-12-19 02:08:41] MouseMove: dx=5, dy=0
[2025-12-19 02:08:41] MouseMove: dx=7, dy=0
[2025-12-19 02:08:41] MouseMove: dx=7, dy=0
[2025-12-19 02:08:41] MouseMove: dx=6, dy=3
[2025-12-19 02:08:41] MouseMove: dx=6, dy=10
[2025-12-19 02:08:41] MouseMove: dx=2, dy=10
[2025-12-19 02:08:41] MouseMove: dx=0, dy=12
